一	a
软硬件	hgan
巨大贡献	hgbe
戎	hgd
巨大损失	hgdm
东奔西走	hgfb
雅砻江	hggv
巨大成就	hghs
切不可	hgia
东不拉	hgid
匲	hgjj
轻而易举	hgkv
颐	hgo
頤	hgoa
頣	hgoa
匧	hgoo
巨大胜利	hgqm
尧	hgr
或有负债	hgrn
巨大变化	hgsn
成套设备	hgsr
翘首	hgun
软硬兼施	hgus
翘	hgy
或有收益	hgzu
感到	hh
轰轰烈烈	hhaa
轾	hhb
熙熙攘攘	hhdd
车辆模型	hhfa
东欧国家	hhjw
区区小事	hhkd
车辆保养	hhnu
车轮子	hhoy
轻轨铁路	hhpj
辗转反侧	hhpn
匦	hhqy
轻车熟路	hhsj
牙	hi
戚	hia
斲	hiap
卧	hid
卧式	hihb
牙齿	hiio
牙龈	hiix
牙周	hilb
雅	hini
七上八下	hioa
卧铺	hipf
鸦	hirz
鴉	hirz
牙膏	hisj
卧床	hitf
卧姿	hitr
到此为止	hiui
迓	hiw
卧室	hiwh
轳	hix
牙刷	hixl
邪	hiy
或	hj
惑	hja
匮	hjal
匱	hjal
或者	hjbm
辑	hjc
尀	hjds
感恩戴德	hjeo
或有	hjgq
匮	hji
敺	hjix
感恩图报	hjjd
區	hjjj
剾	hjjk
毆	hjjq
歐	hjjr
鷗	hjjr
成品率	hjjs
成品油	hjjv
匰	hjke
或是	hjkv
成员国	hjlj
匮乏	hjmw
轵	hjo
或许	hjsm
叵测	hjvl
叵	hjvv
贒	hjwl
区别对待	hjxo
甌	hjys
巨噬细胞	hjzq
到	hk
东亚	hkak
东晋	hkak
东平	hkau
划一	hkav
七日游	hkav
轴瓦	hkaz
东墙	hkbe
东城	hkbh
郾城	hkbh
到来	hkbk
到场	hkby
匪	hkc
东丰	hkci
匪帮	hkcy
划	hkd
划时代	hkdn
划拨	hkdz
东南	hkel
到期	hkeq
东莞	hkew
东营	hkew
东芝	hkew
东西	hkfj
轴套	hkgc
东面	hkgj
感光片	hkgn
感光度	hkgt
感光纸	hkgz
或明或暗	hkhk
成果转化	hkhn
东区	hkho
东欧	hkho
轴	hki
匣	hkib
到点	hkij
东路	hkjr
东非	hkkc
划界	hkko
东盟	hkkq
东明	hkkq
东山	hkll
到手	hkmd
东川	hknd
到任	hknm
到货	hknr
到位	hkns
东	hko
到会	hkob
东街	hkob
匪徒	hkob
划分	hkoy
东岳	hkpl
划船	hkpq
东航	hkps
划艇	hkpy
切削面	hkqg
东风	hkqo
切削角	hkqr
切削力	hkqy
辊	hkr
到处	hkri
东站	hksi
东部	hksj
东京	hksj
东郊	hkso
东方	hksy
到底	hktr
东北	hktr
东兰	hkub
东关	hkug
划为	hkuv
东江	hkvb
划清	hkvc
东海	hkvm
东沟	hkvr
东渡	hkvt
东汉	hkvx
东宁	hkwa
划定	hkwd
到达	hkwg
东道	hkwu
东边	hkwy
东辽	hkwy
轴心	hkwz
东安	hkwz
车水马龙	hkxg
轴承	hkxk
匣子	hkya
东阿	hkya
东陵	hkyb
东阳	hkyk
到了	hkyv
划线	hkzh
轴线	hkzh
东台	hkzj
输电网	hkzl
匽	hkzm
鶠	hkzr
东经	hkzx
郾	hkzy
划出	hkzz
东乡	hkzz
盛	hl
东山再起	hlab
盛开	hlae
盛夏	hlan
牙周炎	hlbu
辋	hld
盛大	hlgd
到岸价	hlgn
匝	hli
盏	hlk
匷	hlln
盛赞	hlmr
盛会	hlob
盛行	hloi
盛产	hlsm
盛况	hltj
盛情	hluc
到目前为止	hluu
匝道	hlwu
戈	hm
医	hma
戌	hma
戊	hmaa
戋	hmaa
戊型	hmae
咸	hmaj
戚	hmak
致残	hmar
致死	hmar
烕	hmau
惑	hmaw
威	hmaz
医士	hmba
黳	hmbu
轶事	hmdj
医护	hmdw
戒	hme
致敬	hmer
医药	hmez
医术	hmfs
轿	hmg
戎	hmgd
尧	hmgr
轿车	hmhe
虦	hmhi
剗	hmhk
盞	hmhl
戔	hmhm
成千上万	hmia
戓	hmj
或	hmja
彧	hmja
戜	hmjc
顑	hmjg
颐和园	hmjj
臨	hmjj
盬	hmjl
感	hmjw
医嘱	hmjx
医师	hmka
划	hmkd
刬	hmkd
顣	hmkg
蹙	hmkj
慼	hmkw
致电	hmkz
匴	hmle
盏	hmlk
監	hmlk
覽	hmll
擥	hmlm
鑒	hmlp
覧	hmlr
譼	hmls
医生	hmmc
成年人	hmmo
致辞	hmms
致使	hmna
转手倒卖	hmne
致	hmo
致命	hmoa
医德	hmoe
鹽	hmol
毉	hmoo
七手八脚	hmoq
鍳	hmp
翳	hmq
瑿	hmqc
醫	hmqf
瞖	hmql
贀	hmql
鹥	hmqr
鷖	hmqr
殹	hmqx
嫛	hmqz
繄	hmqz
觱	hmrl
医务	hmry
戍	hms
致哀	hmsj
致意	hmsk
致谢	hmsn
致词	hmsy
致癌	hmtj
盛气凌人	hmto
软科学	hmtv
医疗	hmty
轷	hmu
医学	hmvw
医治	hmvz
致富	hmwa
致密	hmww
悘	hmwz
戈壁	hmxj
致函	hmxk
区委书记	hmxs
成	hmy
盛	hmyl
致力	hmym
医院	hmyw
翘	hmyy
翳	hmyy
郕	hmyy
戉	hmz
臧	hmzh
致以	hmzo
轻重缓急	hmzr
成份	hn
软件开发包	hnaz
成倍增长	hnbc
威信扫地	hndb
辐射热	hndd
辐射计	hnds
辐射能	hndz
雅俗共赏	hnek
软件著作权登记	hnen
雅致	hnhm
雅	hni
鸦片战争	hnir
雅典	hnle
软件包	hnmr
切身利益	hnmu
欧佩克	hnqe
区位码	hnsg
软件产业	hnsk
转向离合器	hnso
区位竞争	hnsr
暂住证	hnss
辐射效应	hnst
七位数	hnsu
雅座	hnto
雅兴	hnva
雅江	hnvb
雅安	hnwz
轻体结构	hnzf
区	ho
输	hoa
匼	hoaj
欧亚	hoak
区域	hobh
欧元	hobr
成人教育	hobs
暂行规定	hobw
轮毂	hobw
辁	hoc
区长	hoch
臥	hod
殴打	hoda
切入点	hodi
轮换	hodr
输入法	hodv
轮椅	hofg
轮机	hofq
区码	hogx
轮辐	hoha
轮式	hohb
轮轴	hohk
输入输出设备	hohz
区别	hojy
欧盟	hokq
输电	hokz
区内	holo
区县	holz
输血	homl
输氧	homu
区委	homz
轮休	honf
轮作	honm
区位	hons
输入	hood
匳	hooo
区分	hooy
轮番	hopk
轮船	hopq
殴	hoq
匬	hoqk
感人肺腑	hoqq
殴	hoqx
轮胎	hoqz
轮	hor
欧	horo
鸥	horz
鴎	horz
区	hos
输赢	hosj
较往年	hosm
轮训	hosn
区间	hotk
轮廓	hots
欧美	houg
瓯海	hovm
输液	hovs
轮流	hovs
轮渡	hovt
欧洲	hovv
输运	howb
输送	howu
轮子	hoya
欧阳	hoyk
瓯	hoys
暂行办法	hoyv
输出	hozz
欧姆	hozz
暂	hp
暂无	hpag
堑	hpb
匠	hpd
斩钉截铁	hpep
暂不	hpgi
暂	hpk
暂时	hpkd
暂且	hplc
轧钢机	hplf
暂缺	hpme
暂估	hpne
暂停	hpns
暂住	hpns
暂行	hpoi
錾	hpp
车船费	hpqy
斩首	hpun
暂定	hpwd
感受器	hpwj
感受性	hpwu
轻钢结构	hpzf
暂缓	hpzp
轨	hq
七月	hqa
朢	hqc
威风扫地	hqdb
威胁利诱	hqms
软脂酸	hqrf
威风凛凛	hqtt
七月份	hqvn
转胺酶	hqwf
轨迹	hqws
轨道	hqwu
轨	hqy
软	hr
轻印刷	hrax
医务工作者	hrbn
东乌珠穆沁旗	hrcm
匹	hrd
旡	hrd
兂	hrda
雅鲁藏布江	hreg
戒备森严	hrfa
软禁	hrff
匹配	hrfy
软碟	hrge
轩然大波	hrgv
软卧	hrhi
或多或少	hrhk
兓	hrhr
蠶	hrii
鬵	hrjl
威尔斯	hrke
软骨	hrlw
软管	hrmw
软件	hrnm
软化	hrnr
鸦片	hrnx
匢	hrod
医务人员	hroj
匫	hrok
软盘	hrpl
软肋	hrqy
朁	hrrk
鴄	hrrz
匛	hrs
戒备状态	hrtg
软座	hrto
软性	hrum
炁	hruo
转危为安	hruw
软驱	hrxh
医务所	hryp
软弱	hryt
医务室	hryw
鸦	hrz
弋	hs
弌	hsa
至高无上	hsai
弍	hsbd
较坏	hsbg
式	hsbi
贰	hsbl
貳	hsbl
弎	hscd
较长	hsch
转弯抹角	hsdr
甙	hseb
盛衰荣辱	hseg
较大	hsgd
较轻	hshx
较量	hska
成效显著	hske
较少	hskm
较小	hsko
轻音乐	hskr
较常	hskw
貣	hslo
隿	hsni
较低	hsnr
较	hso
成交额	hsow
较后	hspa
匟	hsqd
较比	hsrr
较多	hsrv
鸢	hsrz
鳶	hsrz
东施效颦	hssi
较高	hssj
较差	hsub
较慢	hsuk
较前	hsuq
较为	hsuv
较快	hsux
较远	hswb
轻诺寡信	hswn
戍边	hswy
忒	hswz
较劲	hsxb
较难	hsxn
较强	hsyj
弋阳	hsyk
较弱	hsyt
辙	hsz
较好	hszy
到底	ht
东北地区	htbh
医疗事故	htde
威廉斯塔德	hteb
到头来	htgb
卧病在床	htgt
软磨硬泡	htgv
邪门歪道	htgw
转阀式小号	hthk
致癌物	htjm
感应电流	htkv
东北部	htrs
盛况空前	htwu
辘	htx
医疗卫生	htym
成为	hu
颐养天年	huam
感慨万端	huas
转差率	hubs
感情用事	huld
至关重要	humf
轰炸机	humf
辚	hur
感性认识	huss
威慑力量	huyk
匹兹堡	huzn
翘首以待	huzo
感觉	hv
感兴趣	hvab
成型	hvae
成天	hvag
医治无效	hvas
成规	hvbo
成功	hvby
成教	hvby
成都	hvby
成长	hvch
欧洲联盟	hvck
成才	hvdm
成批	hvdr
欧洲共同体	hvel
成荫	hvey
成药	hvez
成本	hvfa
成材	hvfd
成套	hvgc
成虫	hvia
成因	hvjd
成品	hvjj
成器	hvjj
成员	hvjl
欧洲国家	hvjw
成果	hvkf
输油泵	hvkg
输油管	hvkm
雅温得	hvko
划清界限	hvky
成败	hvlm
成见	hvlr
成县	hvlz
成年	hvmm
成活率	hvms
输油管线	hvmz
匯	hvni
欧洲货币单位	hvnm
成份	hvno
成倍	hvns
成片	hvnx
成全	hvoc
成人	hvod
成分	hvoy
成风	hvqo
感染率	hvqs
成名	hvrj
轻举妄动	hvsb
成语	hvsb
成熟	hvsj
成就	hvsj
成交	hvso
成效	hvso
成文	hvso
巨济岛	hvsr
成立	hvsu
成为	hvuv
感激涕零	hvvf
成活	hvvm
成家	hvwg
感觉到	hvwh
成灾	hvwu
医学院	hvwy
感觉神经	hvwz
成心	hvwz
成安	hvwz
成群	hvxj
成了	hvyv
成绩	hvzc
成婚	hvzr
欧洲经济共同体	hvzv
感	hw
切实可行	hwao
辖	hwc
东窗事发	hwdz
到达站	hwgs
到达港	hwgv
东宫门	hwjt
匾	hwl
匾	hwld
辖制	hwml
威迫利诱	hwms
匠心独具	hwql
轧道机	hwuf
轧道车	hwuh
东道主	hwus
切实加强	hwyy
忒	hwz
欧安会	hwzo
巨	hx
巨型	hxae
轻型	hxae
轻	hxb
轻巧	hxba
堅	hxba
巨款	hxbb
轻工	hxbi
轻声	hxbx
轰动	hxbz
轰击	hxbz
轻取	hxcx
辗	hxe
轻蔑	hxel
轻薄	hxev
轻飘	hxfb
轻松	hxfo
硻	hxg
巨大	hxgd
辗转	hxhb
戒骄戒躁	hxhj
轻轨	hxhq
轻轻	hxhx
蜸	hxi
螶	hxii
轻点	hxij
戼	hxix
巨噬	hxjm
巨响	hxjn
轰鸣	hxjr
豎	hxju
戈壁滩	hxjv
轻易	hxkr
賢	hxlo
掔	hxmd
轻重	hxmk
轻敌	hxmm
戎马生涯	hxmv
轻便	hxna
轻体	hxnf
轻伤	hxnm
轻信	hxns
轻佻	hxnv
巨人	hxod
到群众中去	hxoj
轻微	hxol
鋻	hxp
轻钢	hxpl
轻铁	hxpm
腎	hxq
威尼斯	hxre
轰然	hxrg
臤	hxs
轻言	hxsa
竪	hxsu
轻率	hxsv
巨变	hxsx
轻装	hxtb
巨头	hxtg
巨资	hxtr
巨鹿	hxtx
牙买加	hxty
轰炸	hxum
轻快	hxux
轻浮	hxvp
巨	hxvv
轻视	hxwl
巨额	hxwr
轰	hxx
巪	hxx
轻骑	hxxg
轻柔	hxxx
孯	hxya
乬	hxyd
轻盈	hxym
轰隆	hxyr
緊	hxz
婜	hxzm
轻纺	hxzs
切	hy
切开	hyae
盛开	hyae
邪恶	hyak
盛夏	hyan
切	hyd
辅导班	hydc
切换	hydr
东张西望	hyfs
盛大	hygd
切磋	hygu
匜	hyi
切点	hyij
轺	hyj
切口	hyja
邪路	hyjr
雅加达	hyjw
切削	hykq
盛典	hyle
致力于	hyma
盛赞	hymr
盛传	hynb
切身	hync
切片	hynx
盛会	hyob
切入	hyod
盛行	hyoi
邪念	hyos
切分	hyoy
切勿	hyro
轫	hys
盛衰	hysk
盛产	hysm
切记	hysy
盛装	hytb
盛况	hytj
熙	hyu
盛情	hyuc
熙	hyuo
煕	hyuo
盛誉	hyva
切割	hywc
切实	hywt
巸	hyyb
切除	hyyo
切忌	hyyw
切线	hyzh
媐	hyzm
切断	hyzu
输导组织	hyzz
成绩	hz
匨	hzb
匩	hzc
成绩册	hzcq
成绩单	hzcu
匥	hze
轧机	hzfq
顿	hzg
臧	hzh
轧辊	hzhk
屯	hzi
顿号	hzja
戒台寺	hzjb
辎	hzk
顿时	hzkd
成绩显著	hzke
成绩斐然	hzkr
轧账	hzlc
输出幅面	hzlg
轧制	hzml
轧人	hzod
输出介质	hzop
轧钢	hzpl
输出变压器	hzsg
轻纺产品	hzsj
输出精度	hzut
转发器	hzvj
轻如鸿毛	hzvm
欧姆定律	hzwo
成绩突出	hzwz
东乡族	hzzs
上	i
虫	ia
蟲	iaa
丨	iaaa
亅	iaaa
忐忑	iaai
卡死	iaar
虶	iad
蚈	iae
虷	iaed
战无不胜	iagq
彪形大汉	iagv
忐忑不安	iagw
卡车	iahe
凸轮	iaho
卡	iai
虰	iai
叔叔	iaia
芈	iaib
羋	iaib
蝆	iaib
虾	iaid
卝	iaid
卡丁车	iaih
雈	iain
上下文	iais
蚵	iaj
蝠	iajk
螎	iajl
督	iak
凸显	iakk
蛃	ialo
督促	ianj
蛨	iank
卡住	ians
卡片	ianx
蜽	iaoo
蘷	iaor
督脉	iaqs
茍	iarj
蛚	iark
羐	iars
蛇形冷凝管	iatt
蚲	iaua
上一个	iavo
丄	iavv
督学	iavw
忐	iaw
虫害	iawc
督察	iawr
蜨	iaxi
卡尺	iaxs
凸	iaya
虫子	iaya
督办	iayo
虫媒	iaze
卡纸	iazr
虚无缥缈	iazz
些	ib
蛙	ibb
蟯	ibbg
卡塔尔	iber
卓越成就	ibhs
虹	ibi
蛣	ibj
虹口	ibja
虹吸	ibjy
蝫	ibm
旧地重游	ibmv
蚨	ibo
蚨	ibod
此起彼伏	ibon
蚖	ibrd
螧	ibrk
蛯	ibrr
蛱	ibu
蟢	ibuj
蛱	ibuo
蟛	ibup
蟽	ibuw
蛙泳	ibvs
龉	ibx
蜐	ibzy
上班	ic
蜂王浆	icat
蜯	icbi
蚌埠	icbm
蚌	ici
蜻蜓	iciy
蟶	icjc
螓	icmf
蝽	ico
蜻	icq
螞	icu
蚟	icvv
螦	icz
蝳	iczy
卜	id
上	ida
卡	idai
鹹	idaj
尗	idak
仧	idao
忐	idaw
鵫	ider
逴	idew
蜂拥而来	idgb
蜂拥而至	idgh
蜂拥而上	idgi
敁	idix
敊	idix
占	idj
奌	idjg
頕	idjg
战	idjh
觇	idjl
覘	idjl
卤	idjo
鹵	idjo
鹸	idjo
点	idju
迠	idjw
卣	idjx
乩	idjz
韰	idka
卓	idke
桌	idkf
叔	idkx
卨	idlj
盀	idlk
贞	idlo
貞	idlo
欳	idlr
遉	idlw
叡	idlx
禼	idlz
上接第一版	idma
睿	idol
鹼	idoo
卥	idos
鹷	idow
敹	idpm
歺	idrs
鳪	idrz
卡拉奇	idsg
裻	idsr
鹶	idsx
鹾	idub
鹺	idub
鹻	idux
蛷	idvs
肻	idwq
壑	idxb
壡	idxb
梷	idxf
颅	idxg
督	idxl
卢	idxm
餐	idxo
錖	idxp
鸬	idxr
攴	idxs
粲	idxu
惄	idxw
逌	idxw
虚拟网	idzl
鼑	idzn
虚拟组	idzz
歧	ie
螨	iea
紫荆花	ieae
蠓	ieag
虎落平川被犬欺	iean
蚶	ieb
蜞	iec
蠎	ieee
蟦	ieel
蝶	ief
蜡模	iefe
蜡板	iefp
蟒	ieg
蠛	iehs
蝴蝶	ieie
蛄	iej
螼	iejc
蠸	iejn
蝴	iejq
蜡	iek
蟆	iekg
螬	iekk
蟥	ieko
蠴	ielb
蝻	ield
蝧	ielg
歧山	iell
蜹	ielo
蠇	ielz
卡斯特里	iemk
蠘	ieni
蟏	ieno
蜡版	ienp
蜡像	ienr
蠖	ienx
螨	ieoo
蟎	ieoo
蟖	iepd
蟒	iese
蜡烛	ieui
蜡染	ievq
蝶泳	ievs
蝾	iewf
歧视	iewl
螮	iewl
歧	iex
蠨	iexn
蚑	iexs
卢萨卡	ieyi
紫苏叶	ieyj
蝶	iez
蝶	iezf
蠂	iezf
蜡纸	iezr
战术	if
蜅	ifb
螵	ifbk
蠕动	ifbz
紫禁城	iffb
卢森堡	iffn
蠕	ifg
蠕	ifgl
蝲	ifjk
蝀	ifk
蛼	ifk
蟫	ifke
蜗杆传动	ifnb
蜙	ifoz
蜥	ifp
蜥	ifpd
螹	ifpd
蚞	ifvv
蟪	ifwz
上面	ig
蚽	iga
蛎	igay
蝰	igbb
蝡	iggd
蜄	igh
点石成金	ighp
卓有成效	ighs
蝒	igjk
凹面镜	igjp
蟟	igkk
雌雄同株	iglf
蠣	iglz
蛖	igm
螈	ignk
蝢	igo
蛺	igoo
蛕	igq
占有量	igqk
蚘	igr
卢布尔雅那	igrh
桌面印刷系统	igrx
蟵	igud
蛂	igxs
蚅	igyy
蛦	igyz
点面结合	igzo
蟩	igzr
虎	ih
虍	ihaa
虞	ihag
蝛	ihaz
蛭	ihb
蛵	ihbi
虪	ihbu
虧	ihbz
甝	iheb
虨	ihfp
蛲	ihg
劇	ihgk
頥	ihgo
豦	ihgq
蛲	ihgr
鸆	ihgr
獻	ihgs
遽	ihgw
勮	ihgy
虐	ihh
虥	ihhh
蚜	ihi
蚜虫	ihia
虤	ihih
贙	ihil
虎口	ihja
蜮	ihja
鬳	ihjl
戯	ihkh
戱	ihkh
觑	ihkl
覷	ihkl
盧	ihkl
虡	ihko
膚	ihkq
歔	ihkr
虚	ihku
虛	ihku
慮	ihkw
虜	ihky
蝘	ihkz
虘	ihlc
顱	ihlg
覰	ihll
鸕	ihlr
覤	ihlr
皻	ihlx
虖	ihmu
雐	ihni
虐待	ihob
蛊惑人心	ihow
彪	ihpd
虗	ihpd
	ihrm
	ihrm
虝	ihro
處	ihrq
齾	ihsi
虔	ihso
虎门	ihtl
戲	ihuh
覻	ihul
歑	ihur
虙	ihwm
勴	ihwy
虑	ihwz
蚷	ihx
虏	ihym
甗	ihys
蠮	ihyy
止	ii
蝆	iiae
歲	iiak
歳	iiak
歭	iibd
歵	iicl
卡	iid
虲	iid
歧	iiex
蝴蝶结	iiez
凹凸不平	iiga
頉	iigo
卡车	iihe
歫	iihx
蟲	iii
蝆	iiib
歨	iiii
歮	iiii
止步	iiik
蠱	iiil
蛅	iij
啙	iijj
止咳	iijs
歱	iikb
频	iikg
頻	iikg
顪	iikg
劌	iikk
蠦	iikl
歩	iikm
步	iiko
歶	iilz
止血	iiml
颦	iine
顰	iine
督促	iinj
卡片	iinx
胔	iioo
齢	iiow
歬	iipy
肯	iiq
龇	iir
些	iirb
祡	iirb
柴	iirf
砦	iirg
呰	iirj
赀	iirl
眥	iirl
觜	iirl
蟕	iirl
貲	iirl
雌	iirn
飺	iiro
鈭	iirp
此	iirr
鴜	iirr
鮆	iirr
訾	iirs
紫	iirz
姕	iirz
止痛	iitx
歯	iiuz
辪	iiys
翽	iiyy
点	ij
虞	ija
蜈	ijag
点歌	ijaj
战士	ijba
占卦	ijbb
虞城	ijbh
战壕	ijbs
占地	ijbv
战场	ijby
点击	ijbz
点球	ijcd
蝈	ijcs
虎口拔牙	ijdh
战事	ijdj
点播	ijdp
占据	ijdx
战报	ijdy
蜗杆	ijfa
占梦	ijff
战机	ijfq
战术	ijfs
点校	ijfs
占有	ijgq
此路不通	ijgw
战友	ijgx
点破	ijgx
战	ijh
战车	ijhe
蜗轮	ijho
蚛	iji
蛔虫	ijia
蜈蚣	ijio
蛔	ijj
蟈	ijja
战国	ijjc
上呼吸道	ijjw
上呼吸道感染	ijjw
蝇	ijk
战时	ijkd
蜖	ijkd
蟬	ijke
战果	ijkf
占星	ijkm
战略	ijkr
蝇	ijkz
蜗	ijl
战败	ijlm
蜗	ijlo
占用	ijlv
蜗牛	ijmb
蜠	ijmf
占先	ijmr
战乱	ijmz
战俘	ijnp
卤	ijo
战役	ijoq
占领	ijow
战后	ijpa
战船	ijpq
蜎	ijq
战胜	ijqm
战犯	ijqy
点名	ijrj
战备	ijrk
战争	ijrx
点评	ijsa
战斗	ijte
点头	ijtg
战况	ijtj
点将	ijtr
点	iju
点灯	ijua
点火	ijuo
战火	ijuo
战前	ijuq
点燃	ijur
点数	ijuz
旧中国	ijvj
点心	ijwz
战马	ijxa
点子	ijya
点阵	ijyh
乩	ijz
战绩	ijzc
战线	ijzh
占线	ijzh
点缀	ijzx
旧	ik
蛳	ika
蝭	ikai
战略武器	ikaj
蛳	ikal
卓越	ikbh
旧址	ikbi
战略地位	ikbn
卢旺达	ikcw
虚拟	ikdz
卓	ike
卓著	ikeb
虚荣	ikew
频带	ikew
桌	ikf
蜾	ikf
虚框	ikfh
螺栓	ikfo
步枪	ikfo
虚构	ikfr
频	ikg
虚夸	ikgb
桌面	ikgj
卓有	ikgq
旧历	ikgy
旧式	ikhb
旧车	ikhe
蚰	ikia
频频	ikik
步步	ikik
叔叔	ikik
此时此刻	ikis
螳	ikjb
蟷	ikjk
蟐	ikjl
蛐	ikk
蠝	ikkk
蝿	ikkz
蝐	ikl
战略目标	iklf
螺帽	iklk
蝹	iklk
蟃	iklx
频生	ikmc
旧制	ikml
频繁	ikmz
频传	iknb
频段	iknc
步伐	iknh
虚像	iknr
虚伪	iknu
虚假	iknx
步	iko
步入	ikod
步行	ikoi
螺钉	ikpa
旧貌	ikpn
步兵	ikpo
上当受骗	ikpx
蛸	ikq
蝟	ikq
督脉	ikqs
蝎	ikr
児	ikrd
虚名	ikrj
虚象	ikrj
蜴	ikro
蝪	ikro
蠍	ikrr
蜫	ikrr
战略性	ikru
蝎	ikry
卓识	iksj
步调	iksl
螺旋	iksm
虚设	iksq
频谱	iksu
频率	iksv
虚度	iktv
频度	iktv
虚	iku
旧	ikvv
蚎	ikvv
螳	ikw
虚心	ikwz
叔	ikx
步骤	ikxc
步履	ikxo
桌子	ikya
步子	ikya
虚弱	ikyt
螺	ikz
点电荷	ikze
虚线	ikzh
螻	ikzm
螺纹	ikzs
螺母	ikzy
螺丝	ikzz
占用	il
蚺	ilb
蚦	ilbd
蜩	ilbj
蟔	ilbu
蠌	ilbu
蛆	ilc
贞丰	ilci
蝄	ild
蛧	ild
贞操	ildj
贞节	iley
上网查询	ilfs
蛊惑	ilhj
蝸	ilj
蠉	iljr
螘	ilju
蛊	ilk
蠱	ilka
蛊	ilka
蠷	illn
蠳	illz
上网传真	ilne
蠵	ilnl
蠼	ilnx
贞	ilo
蛽	iloa
蚋	ilod
颅内压	ilog
蚬	ilr
蜆	ilra
蠋	ilri
上网浏览	ilvk
螖	ilw
频繁	im
螄	imal
﨡	imc
上升到	imeh
蟱	imeu
上升为	imeu
蚝	imh
虴	imhd
蛾	imhm
蛞	imi
蚱	imid
蝺	imil
蜘蛛	imim
龋齿	imio
蝌蚪	imit
蜒	imiy
蜘	imj
蟜	imjl
蛛	imk
蝩	imkb
蜊	imkd
蟍	imkf
蛛	imko
蝮	imkr
止血药	imle
上升幅度	imlt
蛈	imod
蝌	imte
蛾	imv
蜁	imxi
虼	imyd
蜏	imym
蜲	imzm
督促	in
占便宜	inaw
蝗	inc
蜂皇浆	inct
蜵	ind
蚹	inds
蜱	ined
督促检查	inff
占优势	ingd
螑	ings
蟘	inhl
蚮	inhs
蜼	ini
蝗虫	inia
螝	inj
蝂	inpx
蜺	inrd
螩	inrf
卤化物	inrm
蜡像舘	inro
螕	inrr
蟌	inrw
蜕化变质	insp
蟭	inuo
螅	inwz
蛜	inxm
螋	inxs
齿	io
齒	ioa
蛤	ioaj
齮	ioaj
蜦	ioal
齶	iobz
齱	iocx
齰	ioek
上个世纪	ioez
齛	ioez
齽	iofb
齖	iohi
齿轮	ioho
蛤蟆	ioie
龋	ioil
齲	ioil
龇	ioir
齜	ioir
齫	iojf
龊	ioji
齪	ioji
齞	iojo
蛻	iojr
上个星期	ioke
龃	iolc
齟	iolc
蛤贝	iolo
齻	iolo
蠄	iolz
齵	iolz
蜍	iomf
齚	iomi
齴	iomp
上个季度	iomt
龁	iomy
齕	iomy
齨	ionb
蚧	iond
齯	ionr
齸	iool
齘	ioon
齩	iooo
蝬	ioor
蚥	ioos
龄	ioow
齡	ioow
龂	iopd
齗	iopd
蝓	ioqk
齿条	iorf
齣	iorj
餐饮业	iork
龀	iorr
齔	iorr
龅	iory
齙	iory
齺	iorz
占领市场	iosb
蚙	iosx
上个月	iovq
龄	iow
蛉	iow
齳	iowf
龌	ioxh
齷	ioxh
齼	ioxi
龉	ioxj
蛿	ioxj
螥	ioxj
齬	ioxj
龈	ioxo
齦	ioxo
齭	ioxp
蚡	ioyd
龆	ioyj
齠	ioyj
螉	ioyy
齓	ioz
齝	iozj
齥	iozm
蚣	iozs
此后	ip
旧金山	ipal
紫金山	ipal
蚚	ipd
蚯	ipda
蛶	ipds
蝯	ipgx
螔	ipih
蟋蟀	ipis
蚯蚓	ipiy
蟠	ipki
步兵师	ipok
蛌	ips
蚸	ips
蟋	ipwz
蜉	ipya
蟡	ipyu
螇	ipzg
肯	iq
虮	iqd
凣	iqd
上胳膊	iqrq
蚒	iqs
蚏	iqvv
肯定	iqwd
此	ir
些	irb
此项	irbg
此地	irbv
蜂	irc
蜂王	irca
蜂	irci
此事	irdj
蜂拥	irdl
紫荆	irea
柴胡	irej
柴草	irek
紫藤	ireq
紫苑	irer
紫苏	irey
蜪	irez
柴	irf
蟂	irf
餐椅	irfg
蟾	irg
餐厅	irga
餐碟	irge
蛫	irgy
雌雄	irgz
蚔	irh
餐车	irhe
此致	irhm
餐桌	irik
紫外线	iriz
蚼	irj
蛒	irj
蟓	irjg
蜂鸣	irjr
此时	irkd
蜔	irki
赀	irl
餐巾	irli
餐具	irlo
蝜	irlo
柴禾	irmf
雌	irn
此例	irna
蜭	irnb
餐饮	iror
蟾	iros
餐馆	irow
此后	irpa
蜂胶	irqs
蚍	irr
蜌	irrb
此外	irri
蝔	irrn
蚍	irrr
蛥	irrs
紫色	irry
蚳	irs
虳	irs
此刻	irsz
蚐	irtd
此间	irtk
此次	irtr
柴米	iruf
柴火	iruo
柴油	irvk
餐室	irwh
蜂窝	irwj
蜂蜜	irww
餐	irx
蜂群	irxj
蚫	iry
紫阳	iryk
蠏	irym
紫	irz
螐	irza
紫红	irzb
蜂巢	irzk
此刻	is
蠩	isbm
蛀	isc
蚁王	isca
蠰	iser
螺旋霉素	isfc
虻	ish
蠬	isi
蜳	isjy
蟑	isk
蟺	iska
蟑	iske
蟙	iskh
螭	islz
蝣	ism
螺旋藻	isme
步话机	ismf
螺旋体	ismn
螺旋桨	ismt
上交利润	ismv
蝣	ismy
螺旋线	ismz
蛴	isnd
蚊	iso
蜶	isoe
蛟	isoo
蚁	isos
上市公司	isoy
蚢	isqd
螃蟹	isrl
蠐	isrn
